job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,folder,epoch_time,num_parameters,train_batch_size,train_optimizer,train_lr,train_lr_scheduler_patience,num_negs_o,num_negs_s,emb_e_dim,emb_regularize,emb_struct_regularize_weight,emb_struct_dropout,emb_r_regularize_weight,emb_r_dropout,tcnn_freeze_word_embeddings,tcnn_dim_feature_map,tcnn_kernel_size_conv,tcnn_kernel_size_max_pool,tcnn_activation,tcnn_regularize,tcnn_regularize_weight,tcnn_dropout,numeric_feature_normalization,numeric_feature_num_layers,numeric_feature_activation,numeric_feature_regularize,numeric_featue_regularize_weight,numeric_feature_dropout,numeric_mlp_normalization,numeric_mlp_num_layers,numeric_mlp_activation,numeric_mlp_regularize,numeric_mlp_regularize_weight,numeric_mlp_dropout,emb_e_regularize,emb_e_regularize_weight,emb_e_dropout,text_weight,numeric_weight,fwt_hits@1,fwt_hits@3,fwt_hits@10,fwt_mrr
0066026a,yago3-10,complex,0,search,negative_sampling,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.1368033447265625,00011,39f8bd69,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,16.50206232070923,15772032,2048,Adam,0.8394736843533092,4,7,16,128,,,,2.482847057390306e-13,0.12289712205529213,,,,,,,,,,,,,,,,,,,,,,3.175226289848318e-06,-0.29745097178965807,,,0.07279999554157257,0.14409999549388885,0.26479998230934143,0.1368033447265625
0066026a,yago3-10,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.07895773315429687,00012,ff3bbf75,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,16.664035081863403,31544064,4096,Adagrad,0.00034861070918655823,4,39,411,256,lp,,,1.242376886553373e-09,-0.049114005640149117,,,,,,,,,,,,,,,,,,,,,lp,5.08467101323556e-14,0.06139996740967035,,,0.05089999735355377,0.08009999990463257,0.13130000233650208,0.07895773315429687
0066026a,yago3-10,complex,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.1497312255859375,00010,d566d948,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,25.403138875961304,15772032,2048,Adagrad,0.0074653926287199844,4,10,32,128,,,,1.1048750631118165e-07,-0.38875475246459246,,,,,,,,,,,,,,,,,,,,,,4.649123620196465e-18,0.1962914727628231,,,0.09019999951124191,0.15529999136924744,0.26639997959136963,0.1497312255859375
0066026a,yago3-10,complex,0,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.2751577392578125,00013,1884dd09,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,14.900072574615479,31544064,4096,Adam,0.005453758080911497,4,132,3,256,,,,0.0017685375866522183,-0.29762657918035984,,,,,,,,,,,,,,,,,,,,,,6.945615831339317e-11,-0.22011008951812983,,,0.18719999492168427,0.31200000643730164,0.4494999945163727,0.2751577392578125
0066026a,yago3-10,complex,0,search,negative_sampling,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.3060562744140625,00015,bd7274e0,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,17.36583924293518,31544064,2048,Adam,0.18572052182969523,2,460,1,256,lp,,,2.0071055708862537e-10,-0.1622500941157341,,,,,,,,,,,,,,,,,,,,,lp,4.192583344225491e-20,0.1438879193738103,,,0.2230999916791916,0.34209999442100525,0.47029998898506165,0.3060562744140625
0066026a,yago3-10,complex,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.07186817016601563,00016,c9fc7f5d,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,17.735062837600708,15772032,4096,Adagrad,0.0015634414473674313,4,2,26,128,,,,1.6066016688244268e-11,0.22823590226471424,,,,,,,,,,,,,,,,,,,,,,6.146737000029187e-10,-0.4034348139539361,,,0.04910000041127205,0.0731000006198883,0.1119999960064888,0.07186817016601563
0066026a,yago3-10,complex,0,search,negative_sampling,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.15643031005859376,00014,0f9b6948,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,23.600799322128296,15772032,2048,Adagrad,0.056391429142579615,2,2,52,128,lp,,,1.908000531197522e-18,0.3743564300239086,,,,,,,,,,,,,,,,,,,,,lp,1.5859630779600792e-18,0.4835732700303197,,,0.09219999611377716,0.1670999974012375,0.28459998965263367,0.15643031005859376
0066026a,yago3-10,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.12644393310546875,00017,b638cd13,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,18.922949075698853,15772032,4096,Adam,0.008942449528299548,2,19,8,128,lp,,,1.1998367467273749e-20,0.47971094585955143,,,,,,,,,,,,,,,,,,,,,lp,8.110325226343522e-15,0.31508320663124323,,,0.07689999788999557,0.13369999825954437,0.21949999034404755,0.12644393310546875
0066026a,yago3-10,complex,0,search,negative_sampling,valid,230,,,,mean_reciprocal_rank_filtered_with_test,0.14325184326171875,00019,5ec5723a,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,17.79394221305847,31544064,2048,Adam,0.00042416832381570336,4,30,3,256,,,,2.7635331016346794e-16,0.08535028155893087,,,,,,,,,,,,,,,,,,,,,,1.0555640243716401e-16,0.42722391709685326,,,0.08749999850988388,0.14839999377727509,0.25029999017715454,0.14325184326171875
0066026a,yago3-10,complex,0,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.440026318359375,00018,2d847136,/work-ceph/nluedema/kge/local/experiments/yago3-10/20210207-183039-yago3-10-complex,11.235891819000244,31544064,2048,Adagrad,0.03465812092511324,2,53,170,256,,,,0.024567831052178808,-0.4108089208602905,,,,,,,,,,,,,,,,,,,,,,8.507545608195983e-05,-0.07512072939425707,,,0.3464999794960022,0.48479998111724854,0.62909996509552,0.440026318359375
